Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Efficiency
0.25,5,1.5,60,3,0.05,2000,0.00
0.25,5,1.5,60,3,0.05,2500,0.00
0.25,7,0.25,30,3,0.05,500,0.04
0.25,7,0.25,30,3,0.05,1000,0.04
0.25,7,0.25,30,3,0.05,1500,0.05
0.25,7,0.25,30,3,0.05,2000,0.05
0.25,7,0.25,30,3,0.05,2500,0.00
0.25,7,0.25,45,3,0.05,500,0.14
0.25,7,0.25,45,3,0.05,1000,0.14
0.25,7,0.25,45,3,0.05,1500,0.15
0.25,7,0.25,45,3,0.05,2000,0.09
0.25,7,0.25,45,3,0.05,2500,0.06
0.25,7,0.25,60,3,0.05,500,0.31
0.25,7,0.25,60,3,0.05,1000,0.31
0.25,7,0.25,60,3,0.05,1500,0.06
0.25,7,0.25,60,3,0.05,2000,0.06
0.25,7,0.25,60,3,0.05,2500,0.09
0.25,7,0.75,30,3,0.05,500,0.21
0.25,7,0.75,30,3,0.05,1000,0.22
0.25,7,0.75,30,3,0.05,1500,0.23
0.25,7,0.75,30,3,0.05,2000,0.24
0.125,6,0.75,30,3,0.05,2094.3951,0.29
0.25,7,0.75,30,3,0.05,2500,0.21
0.25,7,0.75,45,3,0.05,500,0.33
0.25,7,0.75,45,3,0.05,1000,0.39
0.25,7,0.75,45,3,0.05,1500,0.37
0.25,7,0.75,45,3,0.05,2000,0.37
0.25,7,0.75,45,3,0.05,2500,0.39
0.25,7,0.75,60,3,0.05,500,0.22
0.25,7,0.75,60,3,0.05,1000,0.23
0.25,7,0.75,60,3,0.05,1500,0.25
0.25,7,0.75,60,3,0.05,2000,0.27
0.125,6,0.75,50,3,0.05,2094.3951,0.37
0.25,7,0.75,60,3,0.05,2500,0.28
0.25,7,1.25,30,3,0.05,500,0.27
0.25,7,1.25,30,3,0.05,1000,0.26
0.25,7,1.25,30,3,0.05,1500,0.27
0.25,7,1.25,30,3,0.05,2000,0.29
0.25,7,1.25,30,3,0.05,2500,0.34
0.25,7,1.25,45,3,0.05,500,0.37
0.25,7,1.25,45,3,0.05,1000,0.36
0.25,7,1.25,45,3,0.05,1500,0.39
0.25,7,1.25,45,3,0.05,2000,0.40
0.25,7,1.25,45,3,0.05,2500,0.42
0.25,7,1.25,60,3,0.05,500,0.12
0.25,7,1.25,60,3,0.05,1000,0.13
0.25,7,1.25,60,3,0.05,1500,0.14
0.25,7,1.25,60,3,0.05,2000,0.15
0.25,7,1.25,60,3,0.05,2500,0.15
0.25,7,1.5,30,3,0.05,500,0.19
0.25,7,1.5,30,3,0.05,1000,0.21
0.25,7,1.5,30,3,0.05,1500,0.21
0.25,7,1.5,30,3,0.05,2000,0.23
0.25,7,1.5,30,3,0.05,2500,0.22
0.25,7,1.5,45,3,0.05,500,0.29
0.25,7,1.5,45,3,0.05,1000,0.29
0.25,7,1.5,45,3,0.05,1500,0.31
0.25,7,1.5,45,3,0.05,2000,0.39
0.25,7,1.5,45,3,0.05,2500,0.39
0.25,7,1.5,60,3,0.05,500,0.01
0.25,7,1.5,60,3,0.05,1000,0.02
0.25,7,1.5,60,3,0.05,1500,0.02
0.25,7,1.5,60,3,0.05,2000,0.03
0.25,7,1.5,60,3,0.05,2500,0.03
0.25,9,0.25,30,3,0.05,500,0.01
0.25,9,0.25,30,3,0.05,1000,0.01
0.25,9,0.25,30,3,0.05,1500,0.01
0.25,9,0.25,30,3,0.05,2000,0.00
0.25,9,0.25,30,3,0.05,2500,0.00
0.25,9,0.25,45,3,0.05,500,0.13
0.25,9,0.25,45,3,0.05,1000,0.10
0.25,9,0.25,45,3,0.05,1500,0.05
0.25,9,0.25,45,3,0.05,2000,0.03
0.25,9,0.25,45,3,0.05,2500,0.02
0.25,9,0.25,60,3,0.05,500,0.16
0.25,9,0.25,60,3,0.05,1000,0.15
0.25,9,0.25,60,3,0.05,1500,0.00
0.25,9,0.25,60,3,0.05,2000,0.00
0.25,9,0.25,60,3,0.05,2500,0.00
0.25,9,0.75,30,3,0.05,500,0.05
0.25,9,0.75,30,3,0.05,1000,0.19
0.25,9,0.75,30,3,0.05,1500,0.21
0.25,9,0.75,30,3,0.05,2000,0.17
0.25,9,0.75,30,3,0.05,2500,0.15
0.25,9,0.75,45,3,0.05,500,0.27
0.25,9,0.75,45,3,0.05,1000,0.33
0.25,9,0.75,45,3,0.05,1500,0.34
0.25,9,0.75,45,3,0.05,2000,0.36
0.25,9,0.75,45,3,0.05,2500,0.37
0.25,9,0.75,60,3,0.05,500,0.27
0.25,9,0.75,60,3,0.05,1000,0.41
0.25,9,0.75,60,3,0.05,1500,0.24
0.25,9,0.75,60,3,0.05,2000,0.14
0.25,9,0.75,60,3,0.05,2500,0.48
0.25,9,1.25,30,3,0.05,500,0.24
0.25,9,1.25,30,3,0.05,1000,0.10
0.25,9,1.25,30,3,0.05,1500,0.14
0.25,9,1.25,30,3,0.05,2000,0.24
0.25,9,1.25,30,3,0.05,2500,0.20
0.25,9,1.25,45,3,0.05,500,0.39
0.25,9,1.25,45,3,0.05,1000,0.41
0.25,9,1.25,45,3,0.05,1500,0.43
0.25,9,1.25,45,3,0.05,2000,0.39
0.25,9,1.25,45,3,0.05,2500,0.45
0.25,9,1.25,60,3,0.05,500,0.24
0.25,9,1.25,60,3,0.05,1000,0.22
0.25,9,1.25,60,3,0.05,1500,0.28
0.25,9,1.25,60,3,0.05,2000,0.27
0.25,9,1.25,60,3,0.05,2500,0.27
0.25,9,1.5,30,3,0.05,500,0.11
0.25,9,1.5,30,3,0.05,1000,0.26
0.25,9,1.5,30,3,0.05,1500,0.23
0.25,9,1.5,30,3,0.05,2000,0.23
0.25,9,1.5,30,3,0.05,2500,0.22
0.25,9,1.5,45,3,0.05,500,0.38
0.25,9,1.5,45,3,0.05,1000,0.41
0.25,9,1.5,45,3,0.05,1500,0.40
0.25,9,1.5,45,3,0.05,2000,0.44
0.25,9,1.5,45,3,0.05,2500,0.42
0.25,9,1.5,60,3,0.05,500,0.18
0.25,9,1.5,60,3,0.05,1000,0.19
0.25,9,1.5,60,3,0.05,1500,0.21
0.25,9,1.5,60,3,0.05,2000,0.07
0.25,9,1.5,60,3,0.05,2500,0.12
0.25,11,0.25,30,3,0.05,500,0.01
0.25,11,0.25,30,3,0.05,1000,0.01
0.25,11,0.25,30,3,0.05,1500,0.00
0.25,11,0.25,30,3,0.05,2000,0.00
0.25,11,0.25,30,3,0.05,2500,0.00
0.25,11,0.25,45,3,0.05,500,0.01
0.25,11,0.25,45,3,0.05,1000,0.00
0.25,11,0.25,45,3,0.05,1500,0.00
0.25,11,0.25,45,3,0.05,2000,0.00
