Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Thrust,Efficiency
0.125,5,0.75,50,3,0.05,2094.3951,9.719909729,0.35,
0.25,5,0.75,60,3,0.05,2500,5.736589459,0.14,
0.25,5,1.25,30,3,0.05,500,0.7643251654,0.23,
0.25,5,1.25,30,3,0.05,1000,3.087456578,0.24,
0.25,5,1.25,30,3,0.05,1500,6.407672887,0.22,
0.25,5,1.25,30,3,0.05,2000,11.94508426,0.23,
0.25,5,1.25,30,3,0.05,2500,18.33502345,0.23,
0.25,5,1.25,45,3,0.05,500,0.5262952012,0.18,
0.25,5,1.25,45,3,0.05,1000,2.094475006,0.18,
0.25,5,1.25,45,3,0.05,1500,4.68637375,0.18,
0.25,5,1.25,45,3,0.05,2000,8.153610134,0.18,
0.25,5,1.25,45,3,0.05,2500,12.83761122,0.18,
0.25,5,1.25,60,3,0.05,500,0.01392727866,0.00,
0.25,5,1.25,60,3,0.05,1000,0.05831879809,0.00,
0.25,5,1.25,60,3,0.05,1500,0.1104022447,0.00,
0.25,5,1.25,60,3,0.05,2000,0.1148865476,0.00,
0.25,5,1.25,60,3,0.05,2500,0.2572754414,0.00,
0.25,5,1.5,30,3,0.05,500,0.6450119756,0.18,
0.25,5,1.5,30,3,0.05,1000,2.630641018,0.19,
0.25,5,1.5,30,3,0.05,1500,5.916630579,0.19,
0.25,5,1.5,30,3,0.05,2000,10.89552065,0.20,
0.25,5,1.5,30,3,0.05,2500,18.12373596,0.21,
0.25,5,1.5,45,3,0.05,500,0.3794418419,0.09,
0.25,5,1.5,45,3,0.05,1000,1.486831505,0.10,
0.25,5,1.5,45,3,0.05,1500,3.387542829,0.10,
0.25,5,1.5,45,3,0.05,2000,6.318120114,0.10,
0.25,5,1.5,45,3,0.05,2500,16.01619285,0.22,
0.25,5,1.5,60,3,0.05,500,0.130870473,0.01,
0.25,5,1.5,60,3,0.05,1000,0.3965295075,0.00,
